"filename", "language", "Markdown", "Python", "Scala", "Java Properties", "YAML", "CSS", "JavaScript", "JavaScript JSX", "JSON", "XML", "HTML", "C++", "Haskell", "Go", "Java", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\algorithm\basic\char\charCheck.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\where\Documents\github\code\algorithm\basic\parser\q640.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
"c:\Users\where\Documents\github\code\algorithm\basic\presum\preSum2D.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\where\Documents\github\code\algorithm\basic\presum\presumDiff.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 35
"c:\Users\where\Documents\github\code\algorithm\basic\presum\questions\highorderpresum.py", "Python", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 42
"c:\Users\where\Documents\github\code\algorithm\basic\presum\stringCharPresum.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\where\Documents\github\code\algorithm\basic\questions\make-sum-divisible-by-p.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\where\Documents\github\code\algorithm\basic\sample\floyd.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\where\Documents\github\code\algorithm\basic\sample\sampe.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\where\Documents\github\code\algorithm\basic\simpleParser\parser.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0
"c:\Users\where\Documents\github\code\algorithm\basic\twoPointer\lcp68.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 23
"c:\Users\where\Documents\github\code\algorithm\basic\twoPointer\twoArrayWithNearestPair.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 24
"c:\Users\where\Documents\github\code\algorithm\basic\variable\variables.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 34
"c:\Users\where\Documents\github\code\algorithm\basic\三分法\test.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 44
"c:\Users\where\Documents\github\code\algorithm\basic\分组循环\find-if-array-can-be-sorted.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 16
"c:\Users\where\Documents\github\code\algorithm\basic\扫描线法\fieldOfGreatestBlessing.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 32
"c:\Users\where\Documents\github\code\algorithm\basic\最长优势子数组\longestESR.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 36
"c:\Users\where\Documents\github\code\algorithm\bfs\multiSeedBFS.py", "Python", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 70
"c:\Users\where\Documents\github\code\algorithm\bfs\questions\bfsForSSSP\ssspWillTimeout.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"c:\Users\where\Documents\github\code\algorithm\bfs\questions\bfsWithStatus\q864.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 45
"c:\Users\where\Documents\github\code\algorithm\bfs\questions\maxPath\maxPath.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 39
"c:\Users\where\Documents\github\code\algorithm\bfs\questions\maxPath\maxPath2.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\where\Documents\github\code\algorithm\bfs\questions\otForBfs\maximum-strictly-increasing-cells-in-a-matrix.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 32
"c:\Users\where\Documents\github\code\algorithm\bfs\questions\qs\q1254.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 31
"c:\Users\where\Documents\github\code\algorithm\bfs\questions\shortest-path-in-binary-matrix.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 24
"c:\Users\where\Documents\github\code\algorithm\bfs\simplebfs.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 33
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\Gosoers_Hack.py", "Python", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -22
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\Gospers_Hack.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 21
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\Gospers_hack2.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\bit.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\graycode.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 25
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\lowbit.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\偶数个连续0的数字\findNumber.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\where\Documents\github\code\algorithm\bruteforce\match.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0
"c:\Users\where\Documents\github\code\algorithm\checker\kmpChecker\kmpChecker.md", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 101
"c:\Users\where\Documents\github\code\algorithm\countSubArray\questions\count-subarrays-with-fixed-bounds.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 50
"c:\Users\where\Documents\github\code\algorithm\countSubArray\questions\count-subarrays-with-fixed-bounds2.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\where\Documents\github\code\algorithm\count\countWithMultpleRestrictions\count-beautiful-substrings-ii.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"c:\Users\where\Documents\github\code\algorithm\dfs\DFS取得上下轮廓\disconnect-path-in-a-binary-matrix-by-at-most-one-flip.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 15, 51
"c:\Users\where\Documents\github\code\algorithm\dfs\ReRootWithDFS.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 40
"c:\Users\where\Documents\github\code\algorithm\dfs\dfsForTreeWithChild.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 100
"c:\Users\where\Documents\github\code\algorithm\dfs\dfsSearchVistedNodeValue.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0
"c:\Users\where\Documents\github\code\algorithm\dfs\dfsWithOrder\minimum-score-after-removals-on-a-tree.py", "Python", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 63
"c:\Users\where\Documents\github\code\algorithm\dfs\dfswithQueue.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\where\Documents\github\code\algorithm\dfs\dfs缩点\qn.py", "Python", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 14, 103
"c:\Users\where\Documents\github\code\algorithm\dfs\findBridgeOnline\findBridgeOnline.py", "Python", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 117
"c:\Users\where\Documents\github\code\algorithm\dfs\postorderDFS\create-components-with-same-value.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\where\Documents\github\code\algorithm\dfs\postorderDFS\height-of-binary-tree-after-subtree-removal-queries.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\where\Documents\github\code\algorithm\dfs\postorderDFS\height-of-binary-tree-after-subtree-removal-queries2.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 40
"c:\Users\where\Documents\github\code\algorithm\dfs\qestions\dfsCountEdgeAndNode.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"c:\Users\where\Documents\github\code\algorithm\dfs\qestions\dfsWithoutCache.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 46
"c:\Users\where\Documents\github\code\algorithm\dfs\qestions\lcp54.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0
"c:\Users\where\Documents\github\code\algorithm\dfs\qestions\q1192.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0
