"filename", "language", "Properties", "Markdown", "Python", "Java", "Scala", "Go", "XML", "Log", "C++", "HTML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\.scalafmt.conf", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\where\Documents\github\code\456QQ\main.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 25
"c:\Users\where\Documents\github\code\456QQ\test1.go", "Go", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\where\Documents\github\code\_100\39\solution.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\where\Documents\github\code\_100\39\solution.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 31
"c:\Users\where\Documents\github\code\_100\40\40.iml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\where\Documents\github\code\_100\40\Solution.java", "Java", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\where\Documents\github\code\_100\40\out\production\40\40.iml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\where\Documents\github\code\_100\41\Solution.java", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\where\Documents\github\code\_100\42\Solution.java", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\where\Documents\github\code\_100\42\Solution2.java", "Java", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\where\Documents\github\code\_100\44\Solution.java", "Java", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
